Year,County,Count
1977,Albany,12543.577981651377
1977,Allegany,2882.2727272727275
1977,Bronx,48690.0
1977,Broome,7887.251908396946
1977,Cattaraugus,5145.869565217391
1977,Cayuga,8923.461538461539
1977,Chautauqua,5461.511627906977
1977,Chemung,3608.8
1977,Chenango,1783.7931034482758
1977,Clinton,4259.302325581395
1977,Columbia,5449.333333333333
1977,Cortland,5216.538461538462
1977,Delaware,2514.137931034483
1977,Dutchess,7908.878504672897
1977,Erie,18972.910216718265
1977,Essex,2892.9411764705883
1977,Franklin,3141.764705882353
1977,Fulton,3381.5384615384614
1977,Genesee,6186.0
1977,Greene,4657.142857142857
1977,Hamilton,1017.6923076923077
1977,Herkimer,4805.185185185185
1977,Jefferson,3895.9574468085107
1977,Kings,61085.71428571428
1977,Lewis,1835.3846153846155
1977,Livingston,3367.777777777778
1977,Madison,4596.862745098039
1977,Monroe,15844.059405940594
1977,Montgomery,5908.622448979592
1977,Nassau,31459.43181818182
1977,New York,69600.76923076923
1977,Niagara,10157.241379310344
1977,Oneida,4934.248704663212
1977,Onondaga,10151.102362204725
1977,Ontario,7182.340425531915
1977,Orange,8369.007633587786
1977,Orleans,2367.777777777778
1977,Oswego,4748.611111111111
1977,Otsego,1896.2857142857142
1977,Putnam,8270.882352941177
1977,Queens,49330.4081632653
1977,Rensselaer,14531.25925925926
1977,Richmond,47873.846153846156
1977,Rockland,14056.486486486487
1977,Saint Lawrence,2921.1111111111113
1977,Saratoga,8104.303797468355
1977,Schenectady,11254.782608695652
1977,Schoharie,2710.4
1977,Schuyler,1925.0
1977,Seneca,5265.454545454545
1977,Steuben,6061.568627450981
1977,Suffolk,22059.178082191782
1977,Sullivan,4017.6923076923076
1977,Tioga,6016.428571428572
1977,Tompkins,7713.676470588235
1977,Ulster,7597.2692307692305
1977,Warren,5861.5625
1977,Washington,3140.5882352941176
1977,Wayne,5029.714285714285
1977,Westchester,10905.942857142858
1977,Wyoming,2636.4
1977,Yates,2523.3333333333335
1978,Albany,11594.957264957266
1978,Allegany,2818.787878787879
1978,Bronx,46620.17857142857
1978,Broome,11864.761904761905
1978,Cattaraugus,5180.227272727273
1978,Cayuga,3927.9411764705883
1978,Chautauqua,4865.396825396825
1978,Chemung,2161.6666666666665
1978,Chenango,4585.882352941177
1978,Clinton,4609.107142857143
1978,Columbia,3740.576923076923
1978,Cortland,7385.416666666667
1978,Delaware,2284.0
1978,Dutchess,7617.272727272727
1978,Erie,19936.75
1978,Essex,2442.6923076923076
1978,Franklin,2871.0526315789475
1978,Fulton,2825.0
1978,Genesee,5510.227272727273
1978,Greene,6060.434782608696
1978,Hamilton,983.3333333333334
1978,Herkimer,3611.1111111111113
1978,Jefferson,11635.2
1978,Kings,62350.0
1978,Lewis,3223.125
1978,Livingston,4689.423076923077
1978,Madison,4000.0
1978,Monroe,15090.15503875969
1978,Montgomery,3510.5494505494507
1978,Nassau,44444.76190476191
1978,New York,94040.0
1978,Niagara,7737.474747474747
1978,Oneida,4357.964071856288
1978,Onondaga,10957.365269461077
1978,Ontario,7648.536585365854
1978,Orange,8130.746268656716
1978,Orleans,1871.0526315789473
1978,Oswego,6978.787878787879
