Year,Count,pm25
2014,4955.168,43.10497237569061
2015,3307.671063170823,44.66849315068493
2016,6904.051786908389,40.43287671232877
2017,7612.03643521233,38.2409972299169
2018,9525.8117981154,36.925824175824175
2019,5432.9581571923545,36.734328358208955
