Year,County,type,Count
1977,Ulster,0,4920.536398467433
1977,Ulster,1,9.668508287292818
1977,Ulster,2,1237.4865350089767
1977,Warren,0,2402.3684210526317
1977,Warren,1,13.23076923076923
1977,Warren,2,9.67871485943775
1977,Washington,0,1427.0588235294117
1977,Washington,1,16.923076923076923
1977,Washington,2,30.945273631840795
1977,Wayne,0,2750.625
1977,Wayne,1,0.0
1977,Wayne,2,0.0
1977,Westchester,0,3752.668067226891
1977,Westchester,1,426.52582159624416
1977,Westchester,2,11.789868667917448
1977,Wyoming,0,1967.4626865671642
1977,Wyoming,1,0.0
1977,Wyoming,2,0.0
1977,Yates,0,367.6923076923077
1977,Yates,1,6.956521739130435
1977,Yates,2,0.0
1978,Albany,0,8625.363321799308
1978,Albany,1,1122.2222222222222
1978,Albany,2,89.26636568848758
1978,Allegany,0,1204.155844155844
1978,Allegany,1,2.027027027027027
1978,Allegany,2,0.0
1978,Bronx,0,16695.897435897437
1978,Bronx,2,1287.8444881889764
1978,Broome,0,5594.444444444444
1978,Broome,1,104.77272727272727
1978,Broome,2,99.65174129353234
1978,Cattaraugus,0,2025.1351351351352
1978,Cattaraugus,1,5.414847161572053
1978,Cattaraugus,2,4.23162583518931
1978,Cayuga,0,1000.4032258064516
1978,Cayuga,1,0.0
1978,Cayuga,2,34.798534798534796
1978,Chautauqua,0,1625.2201257861636
1978,Chautauqua,1,67.89568345323741
1978,Chautauqua,2,12.71165644171779
1978,Chemung,0,225.78947368421052
1978,Chemung,1,654.2543859649123
1978,Chemung,2,44.93630573248408
1978,Chenango,0,827.8260869565217
1978,Chenango,1,11.764705882352942
1978,Chenango,2,0.0
1978,Clinton,0,1847.8861788617887
1978,Clinton,1,113.90977443609023
1978,Clinton,2,75.33653846153847
1978,Columbia,0,2166.179775280899
1978,Columbia,1,0.0
1978,Columbia,2,6.417910447761194
1978,Cortland,0,1851.2631578947369
1978,Cortland,1,0.0
1978,Cortland,2,7.301587301587301
1978,Delaware,0,422.962962962963
1978,Delaware,1,0.0
1978,Delaware,2,0.0
1978,Dutchess,0,2776.4921465968587
1978,Dutchess,1,262.2448979591837
1978,Dutchess,2,65.35248041775456
1978,Erie,0,5125.472312703583
1978,Erie,1,42.86783042394015
1978,Erie,2,4.763513513513513
1978,Essex,0,894.5070422535211
1978,Essex,1,0.0
1978,Essex,2,0.0
1978,Franklin,0,757.6388888888889
1978,Franklin,1,0.0
1978,Franklin,2,0.0
1978,Fulton,0,462.27272727272725
1978,Fulton,1,0.0
1978,Fulton,2,0.0
1978,Genesee,0,2517.303370786517
1978,Genesee,1,24.82758620689655
1978,Genesee,2,51.896024464831804
1978,Greene,0,2080.4477611940297
1978,Greene,1,0.0
1978,Greene,2,0.0
1978,Hamilton,0,737.5
1978,Hamilton,1,0.0
1978,Hamilton,2,0.0
1978,Herkimer,0,1114.3103448275863
1978,Herkimer,1,0.0
1978,Herkimer,2,2.9365079365079363
1978,Jefferson,0,2941.0407239819006
1978,Jefferson,1,2.36144578313253
1978,Jefferson,2,597.5471698113207
1978,Kings,0,5938.0952380952385
1978,Kings,2,0.0
1978,Lewis,0,1052.4489795918366
1978,Lewis,1,0.0
1978,Lewis,2,0.0
1978,Livingston,0,2281.3207547169814
1978,Livingston,1,0.0
1978,Livingston,2,9.759615384615385
1978,Madison,0,953.7777777777778
1978,Madison,1,6.6909090909090905
1978,Madison,2,2.1476510067114094
1978,Monroe,0,3484.4145873320535
1978,Monroe,1,199.6793002915452
1978,Monroe,2,46.55786350148368
1978,Montgomery,0,1356.3313609467455
1978,Montgomery,1,0.0
1978,Montgomery,2,343.11787072243345
1978,Nassau,0,10491.052631578947
1978,Nassau,1,265.77863577863576
1978,Nassau,2,0.885520542481053
1978,New York,0,14106.0
1978,New York,2,0.0
1978,Niagara,0,2953.8339920948615
1978,Niagara,1,0.0
1978,Niagara,2,4.652725914861837
1978,Oneida,0,1256.9101123595506
1978,Oneida,1,100.44897959183673
1978,Oneida,2,331.23056994818654
1978,Onondaga,0,3215.378787878788
1978,Onondaga,1,139.2462311557789
1978,Onondaga,2,416.25415282392026
1978,Ontario,0,2792.2727272727275
1978,Ontario,1,39.76470588235294
1978,Ontario,2,6.769911504424779
1978,Orange,0,2060.423076923077
1978,Orange,1,4.020979020979021
1978,Orange,2,8.053007135575942
1978,Orleans,0,546.9230769230769
1978,Orleans,1,0.0
1978,Orleans,2,0.0
1978,Oswego,0,1840.9917355371902
1978,Oswego,1,66.14035087719299
1978,Oswego,2,0.0
1978,Otsego,0,268.9763779527559
1978,Otsego,1,0.0
1978,Otsego,2,0.0
1978,Putnam,0,2685.9375
1978,Putnam,1,66.32352941176471
1978,Putnam,2,0.0
1978,Queens,0,8355.847953216375
1978,Queens,2,84.0
1978,Rensselaer,0,7535.445205479452
1978,Rensselaer,1,119.70930232558139
1978,Rensselaer,2,13.195020746887966
1978,Richmond,0,31695.263157894737
1978,Richmond,2,0.0
1978,Rockland,0,2469.9236641221373
1978,Rockland,1,117.63736263736264
1978,Rockland,2,11.151832460732985
1978,Saint Lawrence,0,1555.432098765432
